constructor_id,team_name
mercedes,Mercedes
ferrari,Ferrari
mclaren,McLaren
racing_point,Racing Point
alphatauri,AlphaTauri
renault,Renault
alfa,Alfa Romeo Racing
williams,Williams
red_bull,Red Bull Racing
haas,Haas F1 Team
aston_martin,Aston Martin
alpine,Alpine
nan,Haas F1 Team
alfa,Alfa Romeo
nan,AlphaTauri
,Red Bull Racing
,Ferrari
,Mercedes
,McLaren
,Aston Martin
,AlphaTauri
,Alpine
,Williams
,Haas F1 Team
,Alfa Romeo
sauber,Kick Sauber
rb,RB
rb,Racing Bulls
