Team Size,Total Cost,Total Points,Rate,Drivers
2,52.400000000000006,62.609224979409404,1.1948325377749884,"Max Verstappen, George Russell"
3,75.4,80.94747060959841,1.0735738807639046,"Max Verstappen, George Russell, Charles Leclerc"
4,82.5,95.94747060959841,1.162999643752708,"Max Verstappen, George Russell, Charles Leclerc, Liam Lawson"
5,91.2,108.2289156081804,1.186720565879171,"Max Verstappen, George Russell, Charles Leclerc, Lance Stroll, Liam Lawson"
6,97.7,113.27969638397741,1.1594646508083666,"Max Verstappen, George Russell, Charles Leclerc, Lance Stroll, Isack Hadjar, Liam Lawson"
7,89.1,103.65261599985419,1.1633290235673872,"Max Verstappen, George Russell, Oliver Bearman, Lance Stroll, Gabriel Bortoleto, Isack Hadjar, Liam Lawson"
8,99.3,104.33527161129747,1.0507076698015858,"Max Verstappen, George Russell, Yuki Tsunoda, Oliver Bearman, Lance Stroll, Gabriel Bortoleto, Isack Hadjar, Liam Lawson"
9,99.7,98.78797228130948,0.9908522796520509,"Max Verstappen, George Russell, Oliver Bearman, Lance Stroll, Gabriel Bortoleto, Isack Hadjar, Liam Lawson, Fernando Alonso, Franco Colapinto"
10,98.9,83.48648592536354,0.8441505149177304,"George Russell, Charles Leclerc, Oliver Bearman, Lance Stroll, Carlos Sainz, Gabriel Bortoleto, Isack Hadjar, Liam Lawson, Pierre Gasly, Franco Colapinto"
